Kolom,,Beschrijving
doorsnede,Verplicht,Referentie naar de doorsnede zoals opgegeven in vakindeling.
scenario,Verplicht,Nummer wat verwijst naar het scenario. Deze moet een nummer zijn.
scenarionaam,Optioneel,Naam of omschrijving van het scenario.
scenariokans,Verplicht,Kans op het scenario. Kansen per doorsnede moeten optellen tot 1.
SF/beta,Verplicht,Of SF of Beta moet worden ingevoerd. Wanneer beide worden ingevoerd worden ze vergeleken en wordt doorgerekend met beta.
stixnaam,Optioneel,Naam voor de bijbehorende stixfile. Wanneer deze wordt opgegeven wordt met D-Stability gerekend.
