,ID,Section,LCC,name,year,yes/no,dcrest,dberm,transition_level,beta_target
53,1,vak 23,2625438.636419929,Grondversterking binnenwaarts,0,-999,0.75,15.0,-999,-999
61,3,vak 24,5824494.033773135,Grondversterking met stabiliteitsscherm,0,-999,1.0,5.0,-999,-999
55,3,vak 25,19335916.47226728,Grondversterking met stabiliteitsscherm,0,-999,0.5,8.0,-999,-999
56,3,vak 26,5667843.792694299,Grondversterking met stabiliteitsscherm,0,-999,0.75,10.0,-999,-999
65,3,vak 27,3849366.7107586474,Grondversterking met stabiliteitsscherm,0,-999,0.75,8.0,-999,-999
62,1,vak 28,1295264.8270755697,Grondversterking binnenwaarts,0,-999,1.5,12.0,-999,-999
66,3,vak 29,4604656.466360485,Grondversterking met stabiliteitsscherm,0,-999,1.5,5.0,-999,-999
59,3,vak 30,10982045.261607721,Grondversterking met stabiliteitsscherm,0,-999,0.75,0.0,-999,-999
64,1,vak 31,1645262.7604880908,Grondversterking binnenwaarts,0,-999,1.0,0.0,-999,-999
