,ID,Section,LCC,name,year,yes/no,dcrest,dberm,transition_level,beta_target
0,1,vak 23,735241.1662115701,Grondversterking binnenwaarts,0,-999,0.0,10.0,-999,-999
0,3,vak 24,3865145.6589526567,Grondversterking met stabiliteitsscherm,0,-999,0.0,5.0,-999,-999
0,3,vak 25,18137372.562829807,Grondversterking met stabiliteitsscherm,0,-999,0.0,10.0,-999,-999
0,3,vak 26,6053276.595051027,Grondversterking met stabiliteitsscherm,0,-999,0.25,10.0,-999,-999
0,3,vak 27,2225786.917913926,Grondversterking met stabiliteitsscherm,0,-999,0.0,5.0,-999,-999
0,1,vak 28,772221.6748856044,Grondversterking binnenwaarts,0,-999,0.75,8.0,-999,-999
0,3,vak 29,2587843.137281214,Grondversterking met stabiliteitsscherm,0,-999,0.75,0.0,-999,-999
0,3,vak 30,12397761.500717407,Grondversterking met stabiliteitsscherm,0,-999,0.25,5.0,-999,-999
0,1,vak 31,323753.59150143317,Grondversterking binnenwaarts,0,-999,0.25,0.0,-999,-999
