name,mechanism,0,20,25,50,75,99
vak 23,OVERFLOW,4.742447920483117,4.544898370342857,4.494544606498703,4.236978384680519,3.962311462,3.677742118124675
vak 23,STABILITY_INNER,5.2480503141139385,5.2480503141139385,5.2480503141139385,5.2480503141139385,5.2480503141139385,5.2480503141139385
vak 23,PIPING,5.503913166985491,5.332778280019385,5.291657429465308,5.095066997955896,4.912003289696588,4.747589024239737
vak 23,Section,4.7248922700216625,4.535503764053221,4.486307035336955,4.2320496324400585,3.958940962430685,3.675353876945605
vak 24,OVERFLOW,4.8129039543636365,4.624972424571429,4.577126682753246,4.332723947688312,4.0736033260000015,3.8069125924935063
vak 24,STABILITY_INNER,4.583396225999525,4.583396225999525,4.583396225999525,4.583396225999525,4.583396225999525,4.583396225999525
vak 24,PIPING,6.060321584202338,5.844759077645572,5.793479141879778,5.550882934140115,5.328513010576193,5.13148348224189
vak 24,Section,4.5241550484458335,4.456614977917924,4.432937216784665,4.2724829291843225,4.051156243828648,3.7984994424491676
vak 25,OVERFLOW,5.065881134794806,4.793524619885716,4.7232510755740265,4.358776860509092,3.9602345792000007,3.542130659490909
vak 25,STABILITY_INNER,4.507861635217304,4.507861635217304,4.507861635217304,4.507861635217304,4.507861635217304,4.507861635217304
vak 25,PIPING,6.414438388367451,6.165364934890885,6.10652480764399,5.830130846559058,5.579398486556906,5.359142222175726
vak 25,Section,4.495058496333774,4.460211208962809,4.443020188293423,4.269023001356513,3.9400968053091923,3.537757256215196
vak 26,OVERFLOW,5.132076864987013,4.822573800571429,4.742603229272727,4.327181541610388,3.8975329739999993,3.48405279342857
vak 26,STABILITY_INNER,4.941886792238016,4.941886792238016,4.941886792238016,4.941886792238016,4.941886792238016,4.941886792238016
vak 26,PIPING,6.610196292091645,6.368257514357174,6.311011505180927,6.0416699215472,5.7967540841023695,5.581182037286041
vak 26,Section,4.880103429096805,4.7349521123231275,4.6789220007573755,4.31613937786041,3.8955947536758986,3.4836208949017338
vak 27,OVERFLOW,5.2592759923116885,4.987375558628571,4.917180127771429,4.5528938825766225,4.178439087999999,3.812710091761039
vak 27,STABILITY_INNER,4.9524528299835415,4.9524528299835415,4.9524528299835415,4.9524528299835415,4.9524528299835415,4.9524528299835415
vak 27,PIPING,6.586034215634851,6.3998256656136085,6.355222883340679,6.1426883780780255,5.945756909255343,5.769639507867226
vak 27,Section,4.9172895522965225,4.832979863524851,4.7969442786906695,4.525511997946147,4.172804963918327,3.8113818793553493
vak 28,OVERFLOW,4.7877224357402595,4.5841591862857145,4.532187254857145,4.26584448083117,3.98424008,3.6984005088831156
vak 28,STABILITY_INNER,5.302515722930662,5.302515722930662,5.302515722930662,5.302515722930662,5.302515722930662,5.302515722930662
vak 28,PIPING,6.237169496555797,6.041583032491188,5.99482063390099,5.772425930587145,5.56694800646248,5.383632349600951
vak 28,Section,4.774503616165599,4.578916257424132,4.52802118748803,4.264480559386163,3.983748907543583,3.698181530549202
vak 29,OVERFLOW,4.7877224357402595,4.5841591862857145,4.532187254857145,4.26584448083117,3.98424008,3.6984005088831156
vak 29,STABILITY_INNER,5.134591195278482,5.134591195278482,5.134591195278482,5.134591195278482,5.134591195278482,5.134591195278482
vak 29,PIPING,6.158650921187285,5.963422866917597,5.916742395717286,5.694718525276916,5.489557183355424,5.306504008018475
vak 29,Section,4.756442945887364,4.571459159449139,4.522074548758841,4.26255953769013,3.983109279279539,3.6979392775397644
vak 30,OVERFLOW,5.011751940737662,4.759696292571428,4.692811716987013,4.335168059844155,3.9237679231999993,3.4761985564259734
vak 30,STABILITY_INNER,4.694339622214482,4.694339622214482,4.694339622214482,4.694339622214482,4.694339622214482,4.694339622214482
vak 30,PIPING,6.662935238445719,6.438983550430255,6.38459423342583,6.124053255201584,5.882944302156177,5.668969944455049
vak 30,Section,4.656641922710258,4.581629906579346,4.54980284525333,4.297924501985921,3.9164741629207973,3.4747840981779996
vak 31,OVERFLOW,4.795764643075327,4.591788555428572,4.539630164571429,4.271856392103898,3.987630979600002,3.698766292763638
vak 31,STABILITY_INNER,5.235220126006995,5.235220126006995,5.235220126006995,5.235220126006995,5.235220126006995,5.235220126006995
vak 31,PIPING,6.554629885058677,6.314635389207246,6.257759270844029,5.989884447883784,5.746087371758996,5.531450193979914
vak 31,Section,4.776311363752545,4.584089274718689,4.533534551492843,4.269944872148049,3.987013275758604,3.698536092004016
